Column1,after_arousal,before_arousal,after_valence,before_valence,weekend,sun,commute,occupants,length,flow,speed,sudden_events,steering,braking,ID
261,5.3424E+14,6.21492E+14,-1.92896E+14,-1.18018E+14,1,-8.33641E+14,0,0,-2.8344E+14,-1.94373E+14,-1.57164E+14,-7.95096E+14,8.64073E+14,6.63743E+14,3
262,1.24889E+14,1.11487E+14,-1.33771E+13,-1.18018E+14,1,1.30431E+14,0,0,-2.19935E+14,1.47534E+14,-8.23255E+14,-1.20125E+14,2.87645E+14,5.80174E+13,3
263,1.45307E+13,1.44379E+14,-1.1389E+14,-1.18018E+14,1,6.10473E+14,0,0,-2.55073E+14,-3.63666E+14,-8.32453E+14,-9.4343E+14,7.65351E+14,-6.88434E+14,3
264,1.40202E+14,1.33415E+14,-1.1389E+14,-1.18018E+14,1,1.09696E+14,0,0,-2.47311E+13,-2.63904E+14,-1.82885E+14,9.42407E+14,1.6827E+14,1.32151E+14,3
265,1.45307E+13,1.44379E+14,2.20979E+14,3.13188E+14,1,1.48375E+14,0,0,-2.71312E+14,2.04605E+14,-3.71577E+14,2.3145E+14,7.13672E+14,7.32055E+14,3
266,1.29993E+14,1.22451E+14,5.75729E+14,3.13188E+14,1,1.4678E+14,0,0,-2.37384E+14,-1.6023E+14,-1.38641E+14,1.2019E+13,2.16457E+14,1.42471E+14,3
267,1.45307E+13,1.33415E+14,1.02729E+14,1.45143E+14,0,-9.08791E+14,1,0,-3.94315E+14,7.29397E+14,-3.08146E+14,-4.43955E+14,3.21894E+14,-5.78412E+14,3
268,1.45307E+13,1.44379E+14,-1.92896E+14,4.32658E+14,0,-3.90407E+14,1,0,-4.08255E+14,9.34591E+14,7.44666E+14,1.0799E+13,-4.21337E+14,-5.251E+14,3
269,1.45307E+13,1.44379E+14,-1.90752E+12,-1.47885E+14,0,1.44786E+14,1,0,7.09535E+14,-1.9984E+14,-5.28205E+13,1.18037E+14,-1.03654E+14,4.039E+14,3
270,-7.41914E+14,1.44379E+14,-1.55212E+14,-1.18018E+14,0,3.67231E+14,1,0,-1.33201E+14,2.93548E+14,-2.08993E+14,9.21245E+14,8.59542E+14,-7.42815E+14,3
271,1.45307E+13,1.27933E+13,-1.1389E+14,-1.18018E+14,0,6.982E+14,0,0,-3.12295E+14,-1.78511E+14,-1.46442E+14,-1.37639E+14,4.675E+14,5.84613E+14,3
272,1.45307E+13,1.44379E+14,-1.1389E+14,-1.18018E+14,0,2.15704E+14,0,0,1.53035E+14,-2.94888E+14,-7.65168E+14,2.76291E+14,3.26659E+14,6.89711E+14,3
273,1.24889E+14,1.44379E+14,-1.1389E+14,-1.18018E+14,0,-8.21065E+14,0,0,-3.19719E+14,-1.59703E+14,-1.38416E+14,-1.28904E+14,-5.28939E+14,1.00025E+14,3
274,1.45307E+13,1.44379E+14,-1.1389E+14,-1.18018E+14,0,-8.21065E+14,1,0,-1.57093E+14,2.21478E+14,-2.89348E+14,4.44851E+14,2.7913E+14,-3.47465E+14,3
275,1.40202E+14,1.44379E+14,-1.1389E+14,-1.18018E+14,0,-9.08791E+14,0,0,-2.22458E+14,-1.62808E+14,-1.14738E+14,-3.32042E+13,5.99817E+14,7.73845E+14,3
276,1.45307E+13,1.44379E+14,-1.1389E+14,-1.18018E+14,0,-8.72903E+14,0,0,-3.31247E+13,-1.94587E+14,-1.53303E+14,-1.43724E+14,1.88794E+14,2.55909E+14,3
277,1.29993E+14,1.44379E+14,-1.1389E+14,-1.18018E+14,0,1.16076E+14,0,0,-2.8855E+14,-7.62063E+14,-1.29448E+14,-1.45157E+14,-3.79206E+14,1.68347E+14,3
278,5.85286E+14,1.44379E+14,-1.1389E+14,-1.18018E+14,0,1.48375E+14,0,0,-3.12807E+14,-6.88138E+14,-9.96272E+14,-1.30355E+14,3.09678E+14,7.70416E+14,3
279,1.0447E+14,1.44379E+14,-1.1389E+14,-1.18018E+14,0,2.91468E+14,1,0,-4.11692E+13,9.88388E+14,7.021E+14,9.13038E+12,-6.19384E+14,-8.67661E+14,3
280,1.40202E+14,1.44379E+14,-1.1389E+14,-1.18018E+14,0,1.27977E+14,1,0,3.61327E+14,5.34506E+14,-1.71564E+14,3.42119E+14,1.11903E+14,-4.60675E+14,3
281,1.45307E+13,1.44379E+14,-1.1389E+14,-1.18018E+14,0,-3.90407E+14,0,1,-7.95744E+14,5.78613E+14,-2.44176E+14,2.32235E+14,9.9217E+13,-7.58789E+14,3
282,1.45307E+13,1.44379E+14,-1.1389E+14,-1.18018E+14,0,3.39318E+14,0,1,-2.32884E+14,-2.29316E+14,-1.68124E+14,1.82182E+13,3.45667E+14,7.51352E+14,3
283,7.38424E+14,1.44379E+14,-1.1389E+14,-1.18018E+14,0,-7.49289E+14,0,0,-3.3034E+14,-1.9439E+14,-1.53219E+14,-1.43724E+14,1.96888E+12,2.16356E+14,3
284,1.40202E+14,1.44379E+14,-1.1389E+14,-1.18018E+14,1,9.21504E+14,0,0,-3.25172E+14,-6.91402E+14,-9.97665E+14,-1.05427E+14,9.23949E+14,-3.52221E+14,3
285,-2.32435E+14,-2.44842E+14,-1.1389E+14,-1.18018E+14,1,-9.08791E+14,0,0,-1.44E+14,1.23939E+14,-4.43298E+14,-6.22849E+13,5.10722E+14,-8.88297E+14,3
286,6.36332E+14,1.44379E+14,-1.1389E+14,-1.18018E+14,1,1.03714E+14,0,1,-1.76369E+14,1.5511E+14,-5.49149E+14,-7.03336E+14,1.6595E+14,-2.29751E+14,3
287,1.09575E+14,1.44379E+14,-1.1389E+14,-1.18018E+14,1,1.48375E+14,0,0,-3.27279E+14,-1.39448E+14,-1.29771E+14,-1.39661E+14,2.16139E+14,5.39438E+14,3
288,1.45307E+13,8.95591E+14,-1.1389E+14,6.11862E+13,0,6.86237E+13,1,0,3.33134E+14,-8.98219E+13,-4.27692E+14,2.19256E+13,2.97373E+14,4.80469E+14,3
289,1.45307E+13,1.44379E+14,1.81735E+14,1.80656E+14,0,1.16475E+14,0,0,-1.37101E+14,-1.5012E+14,1.02794E+14,6.04878E+14,4.82961E+14,1.53749E+14,3
290,3.81101E+14,1.00523E+13,-7.46462E+14,-1.18018E+14,0,-2.7078E+14,0,0,-1.8472E+14,-2.54667E+14,-1.78943E+14,-1.55462E+13,5.9849E+14,2.44348E+14,3
